min_per_stratum,daily_reviews,scenario,overall_margin,total_sampled,cost_total,customer_coverage,customer_list,product_coverage,product_list,industry_coverage,industry_list,document_country_coverage,document_country_list,region_coverage,region_list,share_top_3_customers,share_strategic_clients_met_sla,cost_over_coverage,uber_main_account_simulated_sessions,uber_main_account_left_to_cover,is_best_row
1000,2571,Equal Stratified Sampling 2.0x,0.0033214570225315997,154260,92556.0,51,"AiPrise, Almedia GmbH, Betlive LLC, Blockchain Ltd, Bob W., Bolt Technology, Bumble, CHECK24 Comparison Portal GmbH, Celeri Labs, Inc., Chicks Gold INC, Copart Inc, F&P GmbH (JOYclub), FacePhi, Google Main Account, ID.me, Instacart, KWS - Epic Games, Legend Trading, MPOWER Financing, Meru (R3mit Solutions), Monzo, NEXT Ventures Ltd., Pactima, Paypal, Pesapeer, Ping Identity 1, Preply, Ria Financial Services, SoFi, Stake, Stripe - AWS, Tabby, Taxfix, Tele2 Sweden, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transmit Security, Trustpilot, UK OneLogin, Uber Main Account, United Nations Federal Credit Union, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, Wunderflats GmbH, XVideos - Actors, eBay, fanspicy, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",17,"Business Services, Construction, Consumer Services, Education, Finance, Healthcare Services, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",162,"Afghanistan, Albania, Algeria, Andorra, Angola, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Chad, Chile, China, Colombia, Congo, Democratic Republic, Congo, Republic of, Costa Rica, Cote d'Ivoire (Ivory Coast), Croatia, Cuba, Cyprus, Czech Republic, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Ethiopia, Fiji, Finland, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Guam, Guatemala, Guinea, Guyana, Haiti, Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Kyrgyzstan, Latvia, Lebanon, Lesotho, Libya, Lithuania, Luxembourg, Madagascar, Malawi, Malaysia, Maldives, Malta, Mauritania, Mauritius, Mexico, Moldova, Mongolia, Montenegro, Morocco, Mozambique, Myanmar, Namibia, Nepal, Netherlands, New Zealand, Nicaragua, Nigeria, North Macedonia, Norway, Oman, Pakistan, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Qatar, Romania, Russian Federation, Rwanda, Saint Lucia, Saudi Arabia, Senegal, Serbia, Sierra Leone, Singapore, Slovakia, Slovenia, Somalia, South Africa, South Korea, Spain, Sri Lanka, Sudan, Suriname, Sweden, Switzerland, Syria, Taiwan, Tajikistan, Tanzania, Thailand, Togo, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uruguay, Uzbekistan, Venezuela, Vietnam, Virgin Islands, U.S., Yemen, Zambia, Zimbabwe",6,"AFR, AMER, APAC, EU, LATAM, ME",14.181900687151563,0.0,384.0497925311203,14724,42712,True
1031,2701,True Random 3.0x,0.005668209076618386,243090,145854.0,57,"ANGLO TECH SERVICES LTD, AiPrise, Almedia GmbH, Aplazo, Bambu Systems, Behind The App, Betlive LLC, Blockchain Ltd, Bolt Technology, Bumble, CLEAR Main Account, Comun, Inc., Coople, Deel, Dynata, Envoy, FacePhi, Gold Coin Group, Google Main Account, ID.me, Instacart, JTI PH, KWS - Epic Games, Kueski, LIBGOT, Monese, Monzo, National Bank of Bahrain (NBB), Padsplit, Patrianna, Paypal, Pockit, Ria Financial Services, Rush Street, Scrambly SRL, SoFi, Square, Stake, Stripe - AWS, Tabby, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transform Credit, Transmit Security, Trustpilot, UK OneLogin, Uber Main Account, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, WorkBright, ZEN, eBay, krediya, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",15,"Business Services, Consumer Services, Education, Finance, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",66,"Algeria, Argentina, Armenia, Australia, Austria, Bahrain, Bangladesh, Belgium, Bolivia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Costa Rica, Cote d'Ivoire (Ivory Coast), Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Finland, France, Georgia, Germany, Ghana, Greece, Guatemala, Honduras, India, Indonesia, Ireland, Israel, Italy, Japan, Kenya, Kuwait, Latvia, Lithuania, Malaysia, Mexico, Netherlands, New Zealand, Nicaragua, Nigeria, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Romania, South Africa, Spain, Sweden, Switzerland, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uzbekistan, Venezuela",6,"AFR, AMER, APAC, EU, LATAM, ME",56.20469784853347,15.384615384615385,978.8859060402684,87788,0,False
1113,2722,True Random 3.0x,0.00559128374367153,244980,146988.0,56,"ANGLO TECH SERVICES LTD, AiPrise, Almedia GmbH, Aplazo, Bambu Systems, Behind The App, Betlive LLC, Blockchain Ltd, Bolt Technology, Bumble, CLEAR Main Account, Comun, Inc., Coople, Deel, Dynata, Envoy, FacePhi, Gold Coin Group, Google Main Account, ID.me, Instacart, JTI PH, KWS - Epic Games, Kueski, LIBGOT, Monese, Monzo, Nala, National Bank of Bahrain (NBB), Patrianna, Paypal, Ria Financial Services, Rush Street, Scrambly SRL, SoFi, Solventa Corp., Square, Stake, Stripe - AWS, Tabby, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transform Credit, Transmit Security, Trustpilot, UK OneLogin, Uber Main Account, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, WorkBright, ZEN, krediya, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",15,"Business Services, Consumer Services, Education, Finance, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",67,"Algeria, Argentina, Armenia, Australia, Austria, Bahrain, Bangladesh, Belgium, Bolivia, Brazil, Canada, Chile, China, Colombia, Costa Rica, Cote d'Ivoire (Ivory Coast), Czech Republic, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, France, Georgia, Germany, Ghana, Greece, Guatemala, Honduras, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Kenya, Kuwait, Latvia, Lithuania, Malaysia, Maldives, Mexico, Netherlands, New Zealand, Nicaragua, Nigeria, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Romania, South Africa, Spain, Sweden, Switzerland, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uzbekistan, Venezuela",6,"AFR, AMER, APAC, EU, LATAM, ME",56.22826353171687,15.384615384615385,986.496644295302,88287,0,False
3000,2712,True Random 3.0x,0.005595900713260056,244080,146448.0,55,"ANGLO TECH SERVICES LTD, AiPrise, Almedia GmbH, Aplazo, Bambu Systems, Behind The App, Betlive LLC, Blockchain Ltd, Bolt Technology, Bumble, CLEAR Main Account, Comun, Inc., Coople, Deel, Dynata, F&P GmbH (JOYclub), FacePhi, Gold Coin Group, Google Main Account, ID.me, Instacart, JTI PH, KWS - Epic Games, Kueski, Monese, Monzo, National Bank of Bahrain (NBB), Padsplit, Patrianna, Paypal, Pockit, Ria Financial Services, Rush Street, Scrambly SRL, SoFi, Square, Stake, Stripe - AWS, Tabby, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transform Credit, Transmit Security, Trustpilot, UK OneLogin, Uber Main Account, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, WorkBright, ZEN, krediya, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",15,"Business Services, Consumer Services, Education, Finance, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",68,"Algeria, Argentina, Armenia, Australia, Austria, Bahrain, Bangladesh, Belgium, Bolivia, Brazil, Canada, Chile, China, Colombia, Costa Rica, Cote d'Ivoire (Ivory Coast), Czech Republic, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Finland, France, Georgia, Germany, Ghana, Greece, Guatemala, Honduras, India, Indonesia, Ireland, Italy, Japan, Kuwait, Latvia, Lithuania, Malaysia, Maldives, Mexico, Montenegro, Netherlands, New Zealand, Nicaragua, Nigeria, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Romania, South Africa, South Korea, Spain, Sweden, Switzerland, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uzbekistan, Venezuela, Vietnam",6,"AFR, AMER, APAC, EU, LATAM, ME",56.18690593248116,15.384615384615385,982.8724832214765,87539,0,False
1918,2334,True Random 3.0x,0.006041127304425423,210060,126036.0,55,"ANGLO TECH SERVICES LTD, AiPrise, Almedia GmbH, Aplazo, Baanx, Bambu Systems, Behind The App, Betlive LLC, Blockchain Ltd, Bumble, CLEAR Main Account, Comun, Inc., Coople, Deel, Envoy, FacePhi, Gold Coin Group, Google Main Account, ID.me, Instacart, JTI PH, KWS - Epic Games, Kueski, LIBGOT, Monese, Monzo, Nala, National Bank of Bahrain (NBB), Patrianna, Paypal, Pockit, Ria Financial Services, Rush Street, Scrambly SRL, SoFi, Square, Stake, Stripe - AWS, Tabby, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transform Credit, Transmit Security, Trustpilot, UK OneLogin, Uber Main Account, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, WorkBright, ZEN, krediya, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",15,"Business Services, Consumer Services, Education, Finance, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",64,"Algeria, Argentina, Australia, Austria, Bahrain, Bangladesh, Belgium, Brazil, Bulgaria, Canada, Chile, China, Colombia, Costa Rica, Cote d'Ivoire (Ivory Coast), Czech Republic, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Finland, France, Georgia, Germany, Ghana, Greece, Guatemala, Honduras, India, Indonesia, Ireland, Israel, Italy, Japan, Kenya, Kuwait, Lithuania, Maldives, Mexico, Netherlands, New Zealand, Nicaragua, Nigeria, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Romania, Saudi Arabia, South Africa, Spain, Sweden, Switzerland, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States of America, Venezuela",6,"AFR, AMER, APAC, EU, LATAM, ME",56.191088260497004,15.384615384615385,869.2137931034483,75474,0,False
3000,2417,True Random 3.0x,0.005937538893737909,217530,130518.0,55,"ANGLO TECH SERVICES LTD, AiPrise, Almedia GmbH, Aplazo, Baanx, Bambu Systems, Behind The App, Betlive LLC, Blockchain Ltd, Bolt Technology, Bumble, CLEAR Main Account, Comun, Inc., Coople, Deel, Dynata, FacePhi, Gold Coin Group, Google Main Account, ID.me, Instacart, JTI PH, KWS - Epic Games, Kueski, Monzo, National Bank of Bahrain (NBB), PHENOVOX VENTURES LLP, Patrianna, Paypal, Pockit, Ria Financial Services, Rush Street, Scrambly SRL, SoFi, Square, Stake, Stripe - AWS, Tabby, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transform Credit, Transmit Security, Trustpilot, UK OneLogin, Uber Main Account, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, WorkBright, ZEN, eBay, krediya, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",15,"Business Services, Consumer Services, Education, Finance, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",62,"Algeria, Argentina, Australia, Austria, Bahrain, Bangladesh, Belgium, Bolivia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Costa Rica, Cote d'Ivoire (Ivory Coast), Czech Republic, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, France, Georgia, Germany, Ghana, Guatemala, Honduras, Hungary, India, Indonesia, Ireland, Italy, Japan, Kenya, Kuwait, Lithuania, Mexico, Netherlands, New Zealand, Nicaragua, Nigeria, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Romania, South Africa, Spain, Sweden, Switzerland, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uzbekistan, Venezuela",6,"AFR, AMER, APAC, EU, LATAM, ME",56.44508803383441,15.384615384615385,912.7132867132867,78852,0,False
1356,2906,True Random 3.0x,0.0054465824567194385,261540,156924.0,54,"ANGLO TECH SERVICES LTD, AiPrise, Almedia GmbH, Aplazo, Bambu Systems, Behind The App, Betlive LLC, Blockchain Ltd, Bolt Technology, Bumble, CLEAR Main Account, Comun, Inc., Deel, Dynata, F&P GmbH (JOYclub), FacePhi, Gold Coin Group, Google Main Account, ID.me, Instacart, JTI PH, KWS - Epic Games, Kueski, Monese, Monzo, National Bank of Bahrain (NBB), Patrianna, Paypal, Pockit, Ria Financial Services, Rush Street, Scrambly SRL, SoFi, Solventa Corp., Square, Stake, Stripe - AWS, Tabby, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transform Credit, Transmit Security, Trustpilot, UK OneLogin, Uber Main Account, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, WorkBright, ZEN, krediya, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",15,"Business Services, Consumer Services, Education, Finance, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",74,"Algeria, Argentina, Armenia, Australia, Austria, Bahrain, Bangladesh, Belgium, Bolivia, Brazil, Bulgaria, Canada, Chile, China, Colombia, Costa Rica, Cote d'Ivoire (Ivory Coast), Czech Republic, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Finland, France, Georgia, Germany, Ghana, Greece, Guatemala, Honduras, Hungary, India, Indonesia, Ireland, Italy, Japan, Kenya, Kuwait, Latvia, Lithuania, Malaysia, Maldives, Mexico, Nepal, Netherlands, New Zealand, Nicaragua, Nigeria, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Romania, Russian Federation, Saudi Arabia, Singapore, Slovakia, South Africa, Spain, Sweden, Switzerland, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States of America, Venezuela, Vietnam",6,"AFR, AMER, APAC, EU, LATAM, ME",56.381433050393824,15.384615384615385,1018.987012987013,94228,0,False
1286,2651,True Random 3.0x,0.005678507819975628,238590,143154.0,54,"ANGLO TECH SERVICES LTD, AiPrise, Almedia GmbH, Aplazo, Bambu Systems, Behind The App, Betlive LLC, Blockchain Ltd, Bolt Technology, Bumble, CLEAR Main Account, Comun, Inc., Coople, Deel, Dynata, F&P GmbH (JOYclub), FacePhi, Gold Coin Group, Google Main Account, ID.me, Instacart, JTI PH, KWS - Epic Games, Kueski, LIBGOT, Monese, Monzo, National Bank of Bahrain (NBB), Patrianna, Paypal, Ria Financial Services, Rush Street, Scrambly SRL, SoFi, Square, Stake, Stripe - AWS, Tabby, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transform Credit, Transmit Security, Trustpilot, UK OneLogin, Uber Main Account, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, WorkBright, ZEN, krediya, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",15,"Business Services, Consumer Services, Education, Finance, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",66,"Algeria, Argentina, Armenia, Australia, Austria, Bahrain, Bangladesh, Belgium, Bolivia, Brazil, Canada, Chile, China, Colombia, Costa Rica, Cote d'Ivoire (Ivory Coast), Czech Republic, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, France, Georgia, Germany, Ghana, Greece, Guatemala, Honduras, Hungary, India, Indonesia, Ireland, Italy, Japan, Kenya, Kuwait, Latvia, Lithuania, Malaysia, Maldives, Mexico, Netherlands, New Zealand, Nicaragua, Nigeria, Pakistan, Panama, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Romania, South Africa, Spain, Sweden, Switzerland, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uzbekistan, Venezuela",6,"AFR, AMER, APAC, EU, LATAM, ME",56.25298629448007,15.384615384615385,980.5068493150685,85767,0,False
1356,2906,Proportional Stratified Sampling 2.0x,0.0032321609337275193,174360,104616.0,53,"AiPrise, Almedia GmbH, Betlive LLC, Blockchain Ltd, Bob W., Bolt Technology, Bumble, CHECK24 Comparison Portal GmbH, Celeri Labs, Inc., Chicks Gold INC, Copart Inc, F&P GmbH (JOYclub), FacePhi, Google Main Account, ID.me, Instacart, KWS - Epic Games, Legend Trading, MPOWER Financing, Meru (R3mit Solutions), Monzo, NEXT Ventures Ltd., Pactima, Paypal, Pesapeer, Ping Identity 1, Preply, Ria Financial Services, SoFi, Stake, Stripe - AWS, Tabby, Taxfix, Tele2 Sweden, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transmit Security, Trustpilot, UK OneLogin, US Virtual Notary, Uber Main Account, United Nations Federal Credit Union, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, Wunderflats GmbH, XVideos - Actors, ZEN, eBay, fanspicy, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",17,"Business Services, Construction, Consumer Services, Education, Finance, Healthcare Services, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",162,"Afghanistan, Albania, Algeria, Andorra, Angola, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Chad, Chile, China, Colombia, Congo, Democratic Republic, Congo, Republic of, Costa Rica, Cote d'Ivoire (Ivory Coast), Croatia, Cuba, Cyprus, Czech Republic, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Ethiopia, Fiji, Finland, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Guam, Guatemala, Guinea, Guyana, Haiti, Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Kyrgyzstan, Latvia, Lebanon, Lesotho, Libya, Lithuania, Luxembourg, Madagascar, Malawi, Malaysia, Maldives, Malta, Mauritania, Mauritius, Mexico, Moldova, Mongolia, Montenegro, Morocco, Mozambique, Myanmar, Namibia, Nepal, Netherlands, New Zealand, Nicaragua, Nigeria, North Macedonia, Norway, Oman, Pakistan, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Qatar, Romania, Russian Federation, Rwanda, Saint Lucia, Saudi Arabia, Senegal, Serbia, Sierra Leone, Singapore, Slovakia, Slovenia, Somalia, South Africa, South Korea, Spain, Sri Lanka, Sudan, Suriname, Sweden, Switzerland, Syria, Taiwan, Tajikistan, Tanzania, Thailand, Togo, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uruguay, Uzbekistan, Venezuela, Vietnam, Virgin Islands, U.S., Yemen, Zambia, Zimbabwe",6,"AFR, AMER, APAC, EU, LATAM, ME",13.805345262674926,0.0,430.51851851851853,16080,41356,False
1356,2906,Equal Stratified Sampling 2.0x,0.0032338763915903896,174360,104616.0,53,"AiPrise, Almedia GmbH, Betlive LLC, Blockchain Ltd, Bob W., Bolt Technology, Bumble, CHECK24 Comparison Portal GmbH, Celeri Labs, Inc., Chicks Gold INC, Copart Inc, F&P GmbH (JOYclub), FacePhi, Google Main Account, ID.me, Instacart, KWS - Epic Games, Legend Trading, MPOWER Financing, Meru (R3mit Solutions), Monzo, NEXT Ventures Ltd., Pactima, Paypal, Pesapeer, Ping Identity 1, Preply, Ria Financial Services, SoFi, Stake, Stripe - AWS, Tabby, Taxfix, Tele2 Sweden, Tracfone Wireless, Inc, TransferGo, TransferWise IDV, Transmit Security, Trustpilot, UK OneLogin, US Virtual Notary, Uber Main Account, United Nations Federal Credit Union, Uphold Live, VALR - production account, Verimi Prod, WeBull Financial, Wunderflats GmbH, XVideos - Actors, ZEN, eBay, fanspicy, micro1",5,"Biometric Authentication, Document Verification, Full Auto IDV (Document Only), Full Auto IDV (Selfie & Document), IDV",17,"Business Services, Construction, Consumer Services, Education, Finance, Healthcare Services, Hospitality, Law Firms & Legal Services, Manufacturing, Media & Internet, Minerals & Mining, Real Estate, Retail, Software, Telecommunications, Transportation, UNKNOWN",162,"Afghanistan, Albania, Algeria, Andorra, Angola, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Chad, Chile, China, Colombia, Congo, Democratic Republic, Congo, Republic of, Costa Rica, Cote d'Ivoire (Ivory Coast), Croatia, Cuba, Cyprus, Czech Republic, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Ethiopia, Fiji, Finland, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Guam, Guatemala, Guinea, Guyana, Haiti, Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kuwait, Kyrgyzstan, Latvia, Lebanon, Lesotho, Libya, Lithuania, Luxembourg, Madagascar, Malawi, Malaysia, Maldives, Malta, Mauritania, Mauritius, Mexico, Moldova, Mongolia, Montenegro, Morocco, Mozambique, Myanmar, Namibia, Nepal, Netherlands, New Zealand, Nicaragua, Nigeria, North Macedonia, Norway, Oman, Pakistan, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Portugal, Puerto Rico, Qatar, Romania, Russian Federation, Rwanda, Saint Lucia, Saudi Arabia, Senegal, Serbia, Sierra Leone, Singapore, Slovakia, Slovenia, Somalia, South Africa, South Korea, Spain, Sri Lanka, Sudan, Suriname, Sweden, Switzerland, Syria, Taiwan, Tajikistan, Tanzania, Thailand, Togo, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States of America, Uruguay, Uzbekistan, Venezuela, Vietnam, Virgin Islands, U.S., Yemen, Zambia, Zimbabwe",6,"AFR, AMER, APAC, EU, LATAM, ME",13.619522826336317,0.0,430.51851851851853,15944,41492,False
